2025-12-29T07:54:47.603Z -Current meory usage: 26.43 
2025-12-29T07:54:50.615Z -Current meory usage: 26.43 
2025-12-29T07:54:53.628Z -Current meory usage: 26.55 
2025-12-29T07:54:56.639Z -Current meory usage: 26.59 
2025-12-29T07:54:59.645Z -Current meory usage: 26.58 
2025-12-29T07:55:02.657Z -Current meory usage: 26.35 
2025-12-29T07:55:05.662Z -Current meory usage: 26.48 
2025-12-29T07:55:08.671Z -Current meory usage: 26.54 
2025-12-29T07:55:11.682Z -Current meory usage: 26.60 
2025-12-29T07:55:14.694Z -Current meory usage: 26.44 
2025-12-29T07:55:17.705Z -Current meory usage: 26.48 
2025-12-29T07:55:20.720Z -Current meory usage: 26.55 
2025-12-29T07:55:23.729Z -Current meory usage: 26.58 
2025-12-29T07:55:26.739Z -Current meory usage: 26.56 
2025-12-29T07:55:29.744Z -Current meory usage: 26.58 
2025-12-29T07:55:32.760Z -Current meory usage: 26.75 
2025-12-29T07:55:35.767Z -Current meory usage: 26.78 
2025-12-29T07:55:38.776Z -Current meory usage: 26.72 
2025-12-29T07:55:41.787Z -Current meory usage: 26.62 
2025-12-29T07:55:44.793Z -Current meory usage: 26.78 
2025-12-29T07:55:47.803Z -Current meory usage: 26.75 
2025-12-29T07:55:50.804Z -Current meory usage: 26.70 
2025-12-29T07:55:53.810Z -Current meory usage: 26.67 
2025-12-29T07:55:56.826Z -Current meory usage: 26.77 
2025-12-29T07:55:59.828Z -Current meory usage: 26.77 
2025-12-29T07:56:02.831Z -Current meory usage: 26.75 
2025-12-29T07:56:05.845Z -Current meory usage: 26.66 
2025-12-29T07:56:08.856Z -Current meory usage: 26.63 
2025-12-29T07:56:11.865Z -Current meory usage: 26.56 
2025-12-29T07:56:14.874Z -Current meory usage: 26.56 
2025-12-29T07:56:17.875Z -Current meory usage: 26.14 
2025-12-29T07:56:20.885Z -Current meory usage: 26.26 
2025-12-29T07:56:23.895Z -Current meory usage: 26.21 
2025-12-29T07:56:26.905Z -Current meory usage: 26.13 
2025-12-29T07:56:29.914Z -Current meory usage: 25.98 
2025-12-29T07:56:32.921Z -Current meory usage: 26.24 
2025-12-29T07:56:35.936Z -Current meory usage: 26.15 
2025-12-29T07:56:38.947Z -Current meory usage: 26.21 
2025-12-29T07:56:41.951Z -Current meory usage: 26.09 
2025-12-29T07:56:44.965Z -Current meory usage: 26.30 
2025-12-29T07:56:47.979Z -Current meory usage: 26.24 
2025-12-29T07:56:50.983Z -Current meory usage: 26.28 
2025-12-29T07:56:53.994Z -Current meory usage: 26.05 
2025-12-29T07:56:57.000Z -Current meory usage: 26.25 
2025-12-29T07:57:00.009Z -Current meory usage: 26.68 
2025-12-29T07:57:03.018Z -Current meory usage: 26.63 
2025-12-29T07:57:06.027Z -Current meory usage: 26.57 
2025-12-29T07:57:09.030Z -Current meory usage: 26.71 
2025-12-29T07:57:12.042Z -Current meory usage: 26.64 
2025-12-29T07:57:15.052Z -Current meory usage: 26.43 
2025-12-29T07:57:18.059Z -Current meory usage: 26.46 
2025-12-29T07:57:21.064Z -Current meory usage: 26.65 
2025-12-29T07:57:24.075Z -Current meory usage: 26.64 
2025-12-29T07:57:27.084Z -Current meory usage: 26.51 
2025-12-29T07:57:30.090Z -Current meory usage: 26.47 
2025-12-29T07:57:33.098Z -Current meory usage: 26.34 
2025-12-29T07:57:36.104Z -Current meory usage: 26.37 
2025-12-29T07:57:39.115Z -Current meory usage: 26.56 
2025-12-29T07:57:42.126Z -Current meory usage: 26.30 
2025-12-29T07:57:45.128Z -Current meory usage: 26.48 
2025-12-29T07:57:48.137Z -Current meory usage: 26.69 
2025-12-29T07:57:51.141Z -Current meory usage: 26.84 
2025-12-29T07:57:54.146Z -Current meory usage: 26.69 
2025-12-29T07:57:57.155Z -Current meory usage: 26.69 
2025-12-29T07:58:00.156Z -Current meory usage: 26.81 
2025-12-29T07:58:03.160Z -Current meory usage: 27.04 
2025-12-29T07:58:06.160Z -Current meory usage: 27.01 
2025-12-29T07:58:09.162Z -Current meory usage: 27.13 
2025-12-29T07:58:12.171Z -Current meory usage: 27.19 
2025-12-29T07:58:15.175Z -Current meory usage: 27.21 
2025-12-29T07:58:18.182Z -Current meory usage: 26.94 
2025-12-29T07:58:21.189Z -Current meory usage: 27.04 
2025-12-29T07:58:24.196Z -Current meory usage: 27.20 
2025-12-29T07:58:27.212Z -Current meory usage: 27.06 
2025-12-29T07:58:30.214Z -Current meory usage: 27.04 
2025-12-29T07:58:33.228Z -Current meory usage: 26.96 
2025-12-29T07:58:36.236Z -Current meory usage: 27.17 
2025-12-29T07:58:39.243Z -Current meory usage: 27.15 
2025-12-29T07:58:42.253Z -Current meory usage: 27.01 
2025-12-29T07:58:45.269Z -Current meory usage: 26.96 
2025-12-29T07:58:48.281Z -Current meory usage: 27.13 
2025-12-29T07:58:51.291Z -Current meory usage: 27.10 
2025-12-29T07:58:54.296Z -Current meory usage: 26.97 
2025-12-29T07:58:57.301Z -Current meory usage: 26.91 
2025-12-29T07:59:00.304Z -Current meory usage: 27.08 
2025-12-29T07:59:03.308Z -Current meory usage: 26.94 
2025-12-29T07:59:06.314Z -Current meory usage: 26.73 
2025-12-29T07:59:09.328Z -Current meory usage: 26.78 
2025-12-29T07:59:12.342Z -Current meory usage: 26.89 
2025-12-29T07:59:15.345Z -Current meory usage: 26.91 
2025-12-29T07:59:18.356Z -Current meory usage: 26.80 
2025-12-29T07:59:21.364Z -Current meory usage: 26.46 
2025-12-29T07:59:24.373Z -Current meory usage: 26.58 
2025-12-29T07:59:27.373Z -Current meory usage: 26.59 
2025-12-29T07:59:30.385Z -Current meory usage: 26.56 
2025-12-29T07:59:33.388Z -Current meory usage: 26.54 
2025-12-29T07:59:36.397Z -Current meory usage: 26.59 
2025-12-29T07:59:39.411Z -Current meory usage: 26.62 
2025-12-29T07:59:42.419Z -Current meory usage: 26.75 
2025-12-29T07:59:45.430Z -Current meory usage: 26.61 
2025-12-29T07:59:48.444Z -Current meory usage: 26.72 
2025-12-29T07:59:51.453Z -Current meory usage: 26.81 
2025-12-29T07:59:54.465Z -Current meory usage: 26.76 
2025-12-29T07:59:57.471Z -Current meory usage: 26.74 
2025-12-29T08:00:00.485Z -Current meory usage: 26.88 
2025-12-29T08:00:03.490Z -Current meory usage: 26.78 
2025-12-29T08:00:06.500Z -Current meory usage: 26.86 
2025-12-29T08:00:09.507Z -Current meory usage: 26.72 
2025-12-29T08:00:12.517Z -Current meory usage: 26.82 
2025-12-29T08:00:15.521Z -Current meory usage: 26.86 
2025-12-29T08:00:18.526Z -Current meory usage: 26.76 
2025-12-29T08:00:21.535Z -Current meory usage: 26.72 
2025-12-29T08:00:24.547Z -Current meory usage: 26.77 
2025-12-29T08:00:27.559Z -Current meory usage: 26.78 
2025-12-29T08:00:30.566Z -Current meory usage: 26.76 
2025-12-29T08:00:33.576Z -Current meory usage: 26.74 
2025-12-29T08:00:36.584Z -Current meory usage: 26.85 
2025-12-29T08:00:39.586Z -Current meory usage: 26.92 
2025-12-29T08:00:42.586Z -Current meory usage: 26.78 
2025-12-29T08:00:45.597Z -Current meory usage: 26.72 
2025-12-29T08:00:48.599Z -Current meory usage: 26.88 
2025-12-29T08:00:51.612Z -Current meory usage: 26.85 
2025-12-29T08:00:54.621Z -Current meory usage: 26.80 
2025-12-29T08:00:57.629Z -Current meory usage: 26.79 
2025-12-29T08:01:00.637Z -Current meory usage: 26.87 
2025-12-29T08:01:03.641Z -Current meory usage: 26.88 
2025-12-29T08:01:06.647Z -Current meory usage: 26.86 
2025-12-29T08:01:09.661Z -Current meory usage: 26.75 
2025-12-29T08:01:12.671Z -Current meory usage: 26.94 
2025-12-29T08:01:15.672Z -Current meory usage: 26.85 
2025-12-29T08:01:18.684Z -Current meory usage: 26.48 
2025-12-29T08:01:21.684Z -Current meory usage: 26.47 
2025-12-29T08:01:24.693Z -Current meory usage: 26.52 
2025-12-29T08:01:27.700Z -Current meory usage: 26.29 
2025-12-29T08:01:30.711Z -Current meory usage: 26.27 
2025-12-29T08:01:33.719Z -Current meory usage: 26.21 
2025-12-29T08:01:36.730Z -Current meory usage: 26.29 
2025-12-29T08:01:39.736Z -Current meory usage: 26.24 
2025-12-29T08:01:42.737Z -Current meory usage: 26.17 
2025-12-29T08:01:45.748Z -Current meory usage: 26.19 
2025-12-29T08:01:48.750Z -Current meory usage: 26.31 
2025-12-29T08:01:51.765Z -Current meory usage: 26.20 
2025-12-29T08:01:54.778Z -Current meory usage: 26.16 
2025-12-29T08:01:57.788Z -Current meory usage: 26.14 
2025-12-29T08:02:00.795Z -Current meory usage: 26.99 
2025-12-29T08:02:03.807Z -Current meory usage: 26.89 
2025-12-29T08:02:06.812Z -Current meory usage: 26.89 
2025-12-29T08:02:09.820Z -Current meory usage: 26.77 
2025-12-29T08:02:12.830Z -Current meory usage: 26.92 
2025-12-29T08:02:15.842Z -Current meory usage: 26.92 
2025-12-29T08:02:18.850Z -Current meory usage: 27.11 
2025-12-29T08:02:21.852Z -Current meory usage: 27.23 
2025-12-29T08:02:24.867Z -Current meory usage: 27.30 
2025-12-29T08:02:27.869Z -Current meory usage: 27.34 
2025-12-29T08:02:30.882Z -Current meory usage: 27.22 
2025-12-29T08:02:33.891Z -Current meory usage: 27.24 
2025-12-29T08:02:36.902Z -Current meory usage: 26.97 
2025-12-29T08:02:39.907Z -Current meory usage: 27.01 
2025-12-29T08:02:42.909Z -Current meory usage: 27.08 
2025-12-29T08:02:45.911Z -Current meory usage: 27.22 
2025-12-29T08:02:48.918Z -Current meory usage: 27.29 
2025-12-29T08:02:51.928Z -Current meory usage: 27.42 
2025-12-29T08:02:54.941Z -Current meory usage: 27.47 
2025-12-29T08:02:57.951Z -Current meory usage: 27.47 
2025-12-29T08:03:00.954Z -Current meory usage: 27.57 
2025-12-29T08:03:03.959Z -Current meory usage: 27.59 
2025-12-29T08:03:06.973Z -Current meory usage: 27.23 
2025-12-29T08:03:09.981Z -Current meory usage: 27.23 
2025-12-29T08:03:12.990Z -Current meory usage: 27.39 
2025-12-29T08:03:16.001Z -Current meory usage: 27.38 
2025-12-29T08:03:19.008Z -Current meory usage: 27.30 
2025-12-29T08:03:22.024Z -Current meory usage: 27.44 
2025-12-29T08:03:25.025Z -Current meory usage: 27.36 
2025-12-29T08:03:28.030Z -Current meory usage: 26.73 
2025-12-29T08:03:31.044Z -Current meory usage: 26.51 
2025-12-29T08:03:34.052Z -Current meory usage: 26.56 
2025-12-29T08:03:37.056Z -Current meory usage: 26.62 
2025-12-29T08:03:40.069Z -Current meory usage: 26.68 
2025-12-29T08:03:43.075Z -Current meory usage: 26.51 
